extract_date,curve_id,curve_components,curve_name,rate
2022-12-31 00:00:00,ACAHP,CD003M,AssetCurve_Affordable_housing_pool,0.0666
2022-12-31 00:00:00,ACAHP,CD006M,AssetCurve_Affordable_housing_pool,0.0708
2022-12-31 00:00:00,ACAHP,CD009M,AssetCurve_Affordable_housing_pool,0.0749
2022-12-31 00:00:00,ACAHP,COF0012M,AssetCurve_Affordable_housing_pool,0.0642292
2022-12-31 00:00:00,ACAHP,IC0024M,AssetCurve_Affordable_housing_pool,0.083
2022-12-31 00:00:00,ACAHP,IC0036M,AssetCurve_Affordable_housing_pool,0.085
2022-12-31 00:00:00,ACAHP,IC0048M,AssetCurve_Affordable_housing_pool,0.087
2022-12-31 00:00:00,ACAHP,IC0060M,AssetCurve_Affordable_housing_pool,0.09
2022-12-31 00:00:00,ACBWP,CD003M,AssetCurve_Bank_wide_pool,0.0666
2022-12-31 00:00:00,ACBWP,CD006M,AssetCurve_Bank_wide_pool,0.0708
2022-12-31 00:00:00,ACBWP,CD009M,AssetCurve_Bank_wide_pool,0.0749
2022-12-31 00:00:00,ACBWP,COF_Overall_Pool_12M,AssetCurve_Bank_wide_pool,0.0694051
2022-12-31 00:00:00,ACBWP,IC0024M,AssetCurve_Bank_wide_pool,0.083
2022-12-31 00:00:00,ACBWP,IC0036M,AssetCurve_Bank_wide_pool,0.085
2022-12-31 00:00:00,ACBWP,IC0048M,AssetCurve_Bank_wide_pool,0.087
2022-12-31 00:00:00,ACBWP,IC0060M,AssetCurve_Bank_wide_pool,0.09
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_10Y,FIMMDA_PSU_FI_BANKS_A+,0.0216654
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_15Y,FIMMDA_PSU_FI_BANKS_A+,0.0215806
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_1Y,FIMMDA_PSU_FI_BANKS_A+,0.0224353
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_2Y,FIMMDA_PSU_FI_BANKS_A+,0.0205967
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_3Y,FIMMDA_PSU_FI_BANKS_A+,0.0200037
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_4Y,FIMMDA_PSU_FI_BANKS_A+,0.020003
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_5Y,FIMMDA_PSU_FI_BANKS_A+,0.0201603
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_6M,FIMMDA_PSU_FI_BANKS_A+,0.0210997
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_6Y,FIMMDA_PSU_FI_BANKS_A+,0.0197064
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_7Y,FIMMDA_PSU_FI_BANKS_A+,0.0198125
2022-12-31 00:00:00,CSCFIMMDA,FIMMDA_PSU_FI_BANKS_A_plus_8Y,FIMMDA_PSU_FI_BANKS_A+,0.0203279
2022-12-31 00:00:00,LPC,LP001M,Liquidity Premium Curve,7.97525e-005
2022-12-31 00:00:00,LPC,LP001Y,Liquidity Premium Curve,6.01823e-006
2022-12-31 00:00:00,LPC,LP002M,Liquidity Premium Curve,2.39926e-005
2022-12-31 00:00:00,LPC,LP002Y,Liquidity Premium Curve,1.73578e-005
2022-12-31 00:00:00,LPC,LP003M,Liquidity Premium Curve,2.78827e-005
2022-12-31 00:00:00,LPC,LP003Y,Liquidity Premium Curve,1.73694e-005
2022-12-31 00:00:00,LPC,LP004Y,Liquidity Premium Curve,1.82601e-005
2022-12-31 00:00:00,LPC,LP005Y,Liquidity Premium Curve,5.2727e-005
2022-12-31 00:00:00,LPC,LP006M,Liquidity Premium Curve,1.83375e-005
2022-12-31 00:00:00,LPC,LP009M,Liquidity Premium Curve,9.60851e-007
2022-12-31 00:00:00, QAGC,INPC012MAVG Index,Quarterly average GSEC curve,0.76614
2022-12-31 00:00:00, QAGC,INPC024MAVG Index,Quarterly average GSEC curve,0.785132
2022-12-31 00:00:00, QAGC,INPC036MAVG Index,Quarterly average GSEC curve,0.752817
2022-12-31 00:00:00, QAGC,INPC048MAVG Index,Quarterly average GSEC curve,3.04695
2022-12-31 00:00:00, QAGC,INPC060MAVG Index,Quarterly average GSEC curve,0.778356
2022-12-31 00:00:00,TDBC,CD003M,TD Base Curve,0.0666
2022-12-31 00:00:00,TDBC,CD006M,TD Base Curve,0.0708
2022-12-31 00:00:00,TDBC,CD009M,TD Base Curve,0.0749
2022-12-31 00:00:00,TDBC,INPC012MAVG Index,TD Base Curve,0.76614
2022-12-31 00:00:00,TDBC,INPC015MAVG Index,TD Base Curve,0.072028
2022-12-31 00:00:00,TDBC,INPC018MAVG Index,TD Base Curve,0.072028
2022-12-31 00:00:00,TDBC,INPC021MAVG Index,TD Base Curve,0.072028
2022-12-31 00:00:00,TDBC,INPC024MAVG Index,TD Base Curve,0.785132
2022-12-31 00:00:00,TDBC,INPC027MAVG Index,TD Base Curve,0.0730444
2022-12-31 00:00:00,TDBC,INPC030MAVG Index,TD Base Curve,0.0730444
2022-12-31 00:00:00,TDBC,INPC033MAVG Index,TD Base Curve,0.0730444
2022-12-31 00:00:00,TDBC,INPC036MAVG Index,TD Base Curve,0.752817
2022-12-31 00:00:00,TDBC,INPC039MAVG Index,TD Base Curve,0.0734699
2022-12-31 00:00:00,TDBC,INPC042MAVG Index,TD Base Curve,0.0734699
2022-12-31 00:00:00,TDBC,INPC045MAVG Index,TD Base Curve,0.0734699
2022-12-31 00:00:00,TDBC,INPC048MAVG Index,TD Base Curve,3.04695
2022-12-31 00:00:00,TDBC,INPC051MAVG Index,TD Base Curve,0.0742442
2022-12-31 00:00:00,TDBC,INPC054MAVG Index,TD Base Curve,0.0742442
2022-12-31 00:00:00,TDBC,INPC057MAVG Index,TD Base Curve,0.0742442
2022-12-31 00:00:00,TDBC,INPC060MAVG Index,TD Base Curve,0.778356
